x,Nu_x,Nu_m
1000.000000000000000000,2.975000000000000000,2.975000000000000000
0.100000000000000000,2.976000000000000000,3.514000000000000000
0.050000000000000000,3.074000000000000000,4.024000000000000000
0.040000000000000000,3.157000000000000000,4.253000000000000000
0.025000000000000000,3.432000000000000000,4.841000000000000000
0.020000000000000000,3.611000000000000000,5.173000000000000000
0.012500001000000000,4.084000000000000000,5.989000000000000000
0.012500000000000000,4.084000000000000000,5.989000000000000000
0.010000000000000000,4.357000000000000000,6.436000000000000000
0.007500000000000020,4.755000000000000000,7.068000000000000000
0.005000000000000000,5.412000000000000000,8.084000000000000000
